idCliente_PK,cep,emailCliente,nome,endereco,telefone
1,83108184,emaudling0@webs.com,"Emlyn Maudling","22 Tennessee Junction",2798678942
2,37183203,gbeazer1@cam.ac.uk,"Garald Beazer","39829 Bunting Circle",8051765396
3,43896814,yspick2@posterous.com,"Yettie Spick","7 Westerfield Street",8829909282
4,25649381,esapauton3@cloudflare.com,"Edee Sapauton","10 Charing Cross Street",8604534377
5,77457947,rughi4@java.com,"Richmound Ughi","9 Jay Road",8673124426
6,27750592,phutcheon5@illinois.edu,"Preston Hutcheon","4 3rd Junction",3654571232
7,34849688,cbirdseye6@bing.com,"Corrina Birdseye","1 Stephen Street",8064818857
8,82523045,ijachimczak7@ebay.co.uk,"Irving Jachimczak","9 Coleman Court",4054188536
9,90625202,wvarrow8@webs.com,"Whitney Varrow","3597 Cardinal Pass",6101164045
10,93055668,keakins9@nydailynews.com,"Kathe Eakins","19937 Holy Cross Park",3209087201
11,65230485,asimmersa@drupal.org,"Abba Simmers","728 Autumn Leaf Court",1817345215
12,66854627,pnorleyb@ibm.com,"Penn Norley","9386 Fair Oaks Drive",7306192315
13,15499180,mmartelc@vimeo.com,"Morissa Martel","161 4th Circle",9838998606
14,86525872,tromerild@hexun.com,"Tad Romeril","626 Stang Crossing",1193683937
15,71475425,kknollesgreene@shutterfly.com,"Kirsten Knolles-Green","53 Old Shore Parkway",4566570058
16,61794903,echelleyf@icio.us,"Eve Chelley","54 Haas Road",7536856601
17,79367324,jcampeyg@jimdo.com,"Juana Campey","90302 Clemons Parkway",8702819772
18,93344329,rperassih@fda.gov,"Reilly Perassi","072 Onsgard Parkway",4956121253
19,17882454,tmaggiorii@fda.gov,"Tine Maggiori","16 Scott Avenue",8256407048
20,65651657,nburnessj@cbslocal.com,"Nobie Burness","86 Montana Court",3686211811
