emailFuncionario,dataContratacao,salario,endereco,matricula,rg,idFuncionario_PK,telefone,dataNascimento,departamento,idUnidade_FK
pboyes0@sciencedirect.com,2018-08-24,3105.52,"1516 Bowman Road",887551,632317879,1,2695523421,1971-07-08,"Product Management",56
wchastenet1@fda.gov,2018-01-26,4428.28,"5 Waywood Plaza",905262,839860469,2,9505780791,1982-02-12,Support,1
bgaythwaite2@jiathis.com,2018-08-10,9479.16,"20538 Kensington Trail",960178,49557806,3,1541292145,1976-09-12,"Research and Development",73
estronack3@aol.com,2017-12-12,5773.53,"2 Valley Edge Point",217990,457822420,4,1093790331,1998-06-22,Support,29
ksibthorpe4@timesonline.co.uk,2018-08-02,5085.52,"1778 Dakota Parkway",61355,437391227,5,5409754408,1991-12-16,Accounting,14
tghirardi5@biblegateway.com,2017-12-14,413.89,"102 Shoshone Pass",284927,979442172,6,5699962614,1986-07-23,Accounting,80
edybell6@walmart.com,2018-09-22,5625.87,"6239 Cherokee Plaza",324536,173318742,7,7068552554,1991-05-05,Engineering,96
jkopisch7@de.vu,2017-08-05,6202.04,"221 Victoria Hill",114622,443681488,8,7831597787,1983-05-25,Accounting,53
aianinotti8@quantcast.com,2018-03-23,1925.76,"25 Fairfield Park",968403,470465790,9,6029260879,1996-11-21,"Business Development",82
lallmark9@ox.ac.uk,2018-02-03,835.18,"83341 Village Avenue",278336,608387905,10,5366248136,1972-10-05,"Business Development",5
ftowrissa@cloudflare.com,2019-03-10,7359.4,"75111 Union Plaza",799316,91939821,11,6364602852,1971-04-08,Marketing,90
eabramib@java.com,2018-08-15,5062.59,"622 Swallow Center",935676,440771088,12,7349070850,1998-09-12,Legal,7
gdodgec@pbs.org,2019-02-14,4724.5,"38 Lakewood Center",365421,741641270,13,4432919758,1996-02-19,Support,38
cmacinerneyd@tumblr.com,2018-10-24,7364.27,"3550 Di Loreto Alley",592497,527410102,14,3189010114,1980-01-01,Sales,78
jedowese@ezinearticles.com,2018-07-13,5978.56,"1124 Ryan Pass",555444,335522589,15,6474511540,1974-03-27,Accounting,76
jhabberjamf@shutterfly.com,2019-04-13,4307.26,"5841 Burrows Drive",233133,172682095,16,5128688453,1983-01-26,"Product Management",89
cnuschag@about.com,2017-10-23,7512.99,"814 Monterey Circle",694644,460867151,17,3332848397,1970-06-28,Accounting,100
jbarklyh@hp.com,2019-02-13,3517.86,"92481 Homewood Street",342878,823154675,18,3127897545,1975-10-01,Services,2
ksueteri@flickr.com,2018-06-29,5559.41,"9743 Lindbergh Junction",952372,943156435,19,5839519256,1994-05-11,Legal,43
dhuggardj@salon.com,2018-03-19,8589.95,"34178 Scott Drive",69533,880630667,20,2518285848,1991-04-08,Services,90
nbellardk@gnu.org,2017-10-19,4200.59,"61 Lyons Alley",71652,807805211,21,2548520882,1982-10-28,Legal,44
kohagirtiel@scribd.com,2018-02-06,2620.42,"61478 Bluestem Point",707040,694501418,22,7928989345,1971-07-07,Support,46
hwestm@usnews.com,2019-04-25,5010.62,"771 Ruskin Road",861129,564265971,23,1856206386,1984-11-27,Marketing,54
afairmann@dropbox.com,2018-11-02,6967.62,"2 Lakewood Gardens Junction",520885,940728289,24,8187022621,1986-07-31,"Research and Development",30
afilkovo@networkadvertising.org,2018-07-14,7515.09,"76896 Summerview Road",482018,935696999,25,2714320370,1979-02-02,Services,8
dtemplmanp@tinyurl.com,2018-08-20,5752.88,"6364 Blackbird Drive",601064,674255829,26,6943181463,1992-04-25,Accounting,45
shubyq@hugedomains.com,2019-05-11,4866.8,"56 Loeprich Crossing",566358,818220277,27,5122866980,1998-09-15,Services,55
bweatherhoggr@ucoz.com,2019-01-29,7931.05,"53 Gina Avenue",567065,85332232,28,7118369144,1994-12-14,"Human Resources",50
dsircombs@yale.edu,2019-01-01,1347.52,"916 Fremont Park",423207,848477957,29,7512857874,1985-11-27,Legal,5
techlint@delicious.com,2019-03-11,9777.16,"6 Esker Road",881325,230080461,30,9278070000,1976-02-20,Marketing,54
kglancyu@biblegateway.com,2018-12-07,7451.2,"91910 Bonner Terrace",342463,596640179,31,1068521100,1998-03-23,Services,50
qpedrocchiv@jugem.jp,2017-09-27,2264.79,"45 Delaware Street",147041,851506564,32,7949907378,1980-10-07,Engineering,15
jrusbridgew@psu.edu,2018-12-28,8921.59,"3170 Utah Parkway",702519,810823498,33,7982691760,1991-11-09,Accounting,57
dmoorhousex@sciencedaily.com,2018-01-20,630.84,"370 Badeau Terrace",858819,605613947,34,7686818395,1977-07-17,Marketing,42
asearsy@people.com.cn,2018-05-19,4075.02,"6 Hansons Way",319283,130346081,35,4796006368,1980-05-22,Engineering,4
csamettz@blogger.com,2019-03-03,9333.02,"06188 Dunning Lane",314718,160190957,36,2658525353,1981-10-12,Accounting,49
amatzel10@mozilla.com,2019-01-02,9678.81,"2 Norway Maple Court",115912,303962871,37,3175941356,1993-08-12,"Business Development",14
tebunoluwa11@weebly.com,2019-04-30,5423.26,"01 Waubesa Road",344937,983539097,38,5981515049,1983-07-31,Accounting,90
plovstrom12@cyberchimps.com,2019-04-29,9423.02,"7169 Dapin Alley",12773,998394284,39,6797214532,1996-03-26,Services,94
ccollar13@ebay.co.uk,2019-01-16,4510.27,"5459 Magdeline Court",353606,722613182,40,9953031095,1984-08-30,"Product Management",15
jcrippes14@marriott.com,2019-04-10,5043.72,"955 Moland Drive",526729,13643821,41,4311373980,1986-05-10,Legal,72
rida15@cdc.gov,2018-05-30,1989.16,"9033 Pepper Wood Plaza",777712,312066580,42,8698182888,1974-07-14,Engineering,4
chaselwood16@miitbeian.gov.cn,2018-11-27,3978.85,"602 Di Loreto Plaza",826506,823747497,43,2063224119,1973-06-30,Marketing,83
dcapener17@upenn.edu,2017-12-21,9000.95,"15 Almo Lane",777873,276336242,44,2486677583,1981-01-01,Engineering,66
fsambiedge18@ycombinator.com,2017-07-15,8097.41,"6487 Schiller Point",29653,784449910,45,7155159331,1974-12-17,Engineering,31
fsibson19@php.net,2017-11-17,6534.89,"8277 Holmberg Street",716784,822179251,46,9931286316,1990-06-07,Sales,44
afurse1a@usatoday.com,2019-05-17,7631.76,"56318 Butterfield Crossing",948660,576878096,47,7351402648,1977-02-21,"Business Development",44
hbrodeur1b@zimbio.com,2018-05-26,8353.39,"96 Kensington Street",232792,693180930,48,5379354186,1993-11-04,Engineering,100
idoddemeede1c@slideshare.net,2019-03-30,5964.87,"1 Dottie Road",182972,877246203,49,7379576270,1976-09-07,Legal,56
onoseworthy1d@ibm.com,2017-12-26,8046.58,"1 Susan Avenue",869220,967885426,50,3472265682,1971-01-31,Services,56
sbennet1e@wisc.edu,2018-11-26,2844.4,"71 Delaware Pass",213196,145202856,51,7867954690,1989-08-23,Accounting,40
sroeby1f@salon.com,2018-04-03,4107.64,"57 Golden Leaf Terrace",706803,331251493,52,1557108524,1992-03-24,"Product Management",75
cgaskins1g@mail.ru,2017-09-13,2163.23,"68052 Fulton Park",532707,703349710,53,8925161892,1988-08-26,Training,21
dpollak1h@smugmug.com,2018-12-15,2305.57,"99594 Annamark Avenue",726472,907864868,54,3289987402,1978-01-04,Legal,96
jfattore1i@ezinearticles.com,2018-03-19,2816.8,"365 Starling Point",336073,233976524,55,3121050233,1978-11-05,Engineering,62
rpealing1j@mashable.com,2018-03-22,6095.8,"86157 Veith Center",693857,572486661,56,1819588769,1990-02-28,Engineering,27
kareles1k@shop-pro.jp,2018-10-29,5693.71,"128 4th Drive",180941,916544862,57,7855526612,1983-05-10,Engineering,44
uwildey1l@mysql.com,2018-05-07,9081.88,"33 Iowa Park",615560,965358833,58,3652128450,1996-11-02,"Product Management",85
churran1m@zimbio.com,2018-05-01,452.63,"94946 Canary Circle",999693,436313219,59,7403846076,1992-06-07,Legal,77
ryablsley1n@hugedomains.com,2018-12-26,7346.5,"680 Meadow Vale Crossing",275695,648225664,60,1826475219,1998-05-28,Services,2
mladon1o@blogs.com,2019-05-07,5733.19,"1 Darwin Avenue",390957,110492718,61,6356750809,1987-03-13,Training,44
mfaber1p@photobucket.com,2019-05-05,9653.67,"6 John Wall Terrace",374636,555494375,62,1395153374,1972-05-28,Support,55
ydownie1q@webnode.com,2017-11-12,2276.41,"481 Stone Corner Alley",507979,161089329,63,3098865147,1979-06-14,Marketing,38
ndawe1r@facebook.com,2017-10-03,6162.9,"5 Mariners Cove Way",19356,815541567,64,3154215564,1972-07-24,Training,5
wmartinat1s@sun.com,2019-05-04,7660.62,"926 Dayton Junction",313416,587975110,65,1026390886,1993-03-17,"Business Development",86
aallwood1t@a8.net,2019-01-26,7247.32,"71063 Superior Alley",139063,629099401,66,3961294199,1982-11-14,"Human Resources",1
atreneer1u@people.com.cn,2018-10-22,5763.62,"520 Mesta Park",470030,661250337,67,8261118545,1983-10-09,"Research and Development",68
bmaletratt1v@umich.edu,2018-06-18,7739.49,"3397 Sheridan Parkway",276946,899827137,68,4944770876,1974-01-04,"Human Resources",99
jorbell1w@ebay.co.uk,2017-12-23,7770.9,"9 Granby Avenue",827869,646908119,69,1048668495,1991-03-11,Support,48
jpettitt1x@ebay.com,2018-09-04,5256.92,"53 7th Street",962230,594921499,70,9201600990,1992-01-13,"Business Development",11
eyurin1y@tripod.com,2018-08-30,215.93,"30 Laurel Point",618063,907256415,71,3911640912,1993-11-02,Marketing,17
