idPedido_PK,dataEntrega,dataSolicitacao,destino,statusPedido,destinatario,idCliente_FK
1,2019-05-28,2018-12-27,"36 Vernon Hill","Não entregue","Marcus Busch",63
2,2019-03-22,2018-12-01,"4643 Grasskamp Avenue",Entregue,"Julee Hatcher",78
3,2019-05-29,2018-08-27,"2669 2nd Junction",Entregue,"Caril Draycott",42
4,2019-02-26,2018-08-31,"78 Ohio Drive","Não entregue","Branden Sherington",78
5,2019-03-30,2018-06-27,"8 6th Center","Não entregue","Liana De Mitris",68
6,2019-01-09,2018-10-16,"624 Hudson Drive",Entregue,"Johnnie Kydde",29
7,2019-03-30,2018-06-28,"53 Hovde Hill",Entregue,"Sherm Kelleher",71
8,2019-01-24,2018-08-29,"35290 Atwood Circle","Não entregue","Hobey Rozzell",48
9,2019-01-24,2018-12-16,"3875 Chive Plaza",Entregue,"Nappie Hans",100
10,2019-01-03,2018-09-11,"70547 Manufacturers Junction",Entregue,"Myrta Coite",25
11,2019-01-21,2018-07-03,"20584 Hallows Pass","Não entregue","Melva Mateuszczyk",64
12,2019-04-09,2018-11-07,"64408 Becker Parkway",Entregue,"Mohandis Simants",73
13,2019-04-29,2018-12-08,"40 Fair Oaks Crossing","Em rota","Barney Giamitti",91
14,2019-04-28,2018-10-05,"7160 Riverside Circle","Não entregue","Tom Jacobsson",93
15,2019-02-17,2018-11-06,"847 Basil Lane","Não entregue","Hayward Scrace",79
16,2019-03-03,2018-09-09,"2989 Sullivan Plaza","Não entregue","Noble Hincks",56
17,2019-01-01,2018-07-17,"2185 Old Gate Place","Não entregue","Shandie Vittel",17
18,2019-01-29,2018-10-28,"4137 Montana Drive","Em rota","Allister Smythe",12
19,2019-04-02,2018-07-22,"7646 Towne Trail","Em rota","Hakeem Cribbins",98
20,2019-06-07,2018-10-19,"7167 East Place","Em rota","Diann Bento",97
21,2019-03-06,2018-07-21,"78 Clove Circle","Não entregue","Noella Linnitt",96
22,2019-06-09,2018-10-05,"9297 Maryland Point","Em rota","Merwin Paskin",11
23,2019-01-22,2018-08-30,"2146 Grover Center",Entregue,"Adora Singers",9
24,2019-06-04,2018-12-18,"1 Shoshone Road","Não entregue","Grace Palphreyman",58
25,2019-01-29,2018-09-04,"6544 School Hill","Não entregue","Bertrando Adanet",52
26,2019-06-07,2018-07-24,"79685 Summer Ridge Avenue","Em rota","Audi Sparshatt",86
27,2019-02-15,2018-09-25,"3 Eliot Plaza","Em rota","Lexie Ebanks",66
28,2019-02-20,2018-08-29,"9597 Monument Terrace","Não entregue","Hal Jarlmann",31
29,2019-04-15,2018-08-15,"90 Bashford Plaza","Em rota","Silas Ruckman",93
30,2019-04-17,2018-11-29,"504 Eagan Place","Não entregue","Muire Duncan",93
31,2019-04-03,2018-06-21,"5 Erie Center",Entregue,"Royall Harms",15
32,2019-05-04,2018-11-05,"097 Mitchell Trail","Em rota","Yoshiko Amsden",70
33,2019-05-05,2018-06-24,"10419 Mayfield Street","Em rota","Larina Loxdale",67
34,2019-05-24,2018-07-28,"25461 Burning Wood Lane","Em rota","Peggie Sweedland",78
35,2019-02-13,2018-12-10,"68 Riverside Pass","Em rota","Lorianna Yardy",27
36,2019-05-10,2018-08-02,"03 Hanover Trail","Em rota","Kikelia Skaife d'Ingerthorpe",94
37,2019-05-05,2018-11-07,"086 Autumn Leaf Avenue","Não entregue","Clara Barizeret",53
38,2019-04-06,2018-06-24,"386 Southridge Court","Em rota","Dolli Chantree",52
39,2019-02-02,2018-09-29,"5241 Grasskamp Parkway","Em rota","Windy Nanson",84
40,2019-02-25,2018-08-01,"7545 Mayer Parkway","Não entregue","Almire Rudgerd",38
41,2019-03-16,2018-12-26,"18829 Bluestem Park",Entregue,"Mignon Dallas",56
42,2019-04-25,2018-11-18,"0 Harbort Park","Em rota","Shandie Fairebrother",78
43,2019-06-05,2018-06-21,"91 New Castle Place","Em rota","Dale Barradell",43
44,2019-03-09,2018-09-21,"30196 Starling Crossing","Não entregue","Parrnell McRitchie",97
45,2019-03-13,2018-06-24,"9 Rutledge Junction",Entregue,"Jobie Fairlaw",63
46,2019-01-10,2018-08-07,"80922 Susan Center","Em rota","Elfreda Yearby",73
47,2019-04-18,2018-09-26,"8412 Main Alley","Não entregue","Hillery Aindriu",21
48,2019-04-15,2018-11-28,"71 Shelley Trail","Não entregue","Alisun Rubberts",47
49,2019-03-02,2018-08-02,"040 Oneill Way","Não entregue","Bridget Kingscote",68
50,2019-03-30,2018-10-14,"99 Pierstorff Avenue","Em rota","Gaylor Eckersley",81
51,2019-05-20,2018-08-07,"27 La Follette Place","Em rota","Ernestus Reasun",47
52,2019-03-23,2018-06-24,"089 Vahlen Crossing",Entregue,"Cherice Stoggell",92
53,2019-05-12,2018-07-09,"0 Bunting Pass",Entregue,"Damiano Clemson",18
54,2019-04-09,2018-08-16,"0185 Evergreen Lane",Entregue,"Delmar Probyn",29
55,2019-02-19,2018-07-23,"44526 Johnson Point","Não entregue","Torrey Landal",60
56,2019-01-14,2018-10-10,"83 Waxwing Crossing","Em rota","Beatrisa Illidge",13
57,2019-05-11,2018-06-13,"264 Myrtle Avenue","Em rota","Alexander Foxten",56
58,2019-06-02,2018-06-25,"8533 Dwight Drive","Em rota","Northrop Cristofol",90
