cpf,rg,idCliente_SPK
5518517,9575172,51
5528527,9575272,52
5538537,9575372,53
5548547,9575472,54
5558557,9575572,55
5568567,9575672,56
5578577,9575772,57
5588587,9575872,58
5598597,9575972,59
5608607,9576072,60
5618617,9576172,61
5628627,9576272,62
5638637,9576372,63
5648647,9576472,64
5658657,9576572,65
5668667,9576672,66
5678677,9576772,67
5688687,9576872,68
5698697,9576972,69
5708707,9577072,70
5718717,9577172,71
5728727,9577272,72
5738737,9577372,73
5748747,9577472,74
5758757,9577572,75
5768767,9577672,76
5778777,9577772,77
5788787,9577872,78
5798797,9577972,79
5808807,9578072,80
5818817,9578172,81
5828827,9578272,82
5838837,9578372,83
5848847,9578472,84
5858857,9578572,85
5868867,9578672,86
5878877,9578772,87
5888887,9578872,88
5898897,9578972,89
5908907,9579072,90
5918917,9579172,91
5928927,9579272,92
5938937,9579372,93
5948947,9579472,94
5958957,9579572,95
5968967,9579672,96
5978977,9579772,97
5988987,9579872,98
5998997,9579972,99
510081007,95710072,100
